Cluster,AdenomeraAndre,AdenomeraHylaedactylus,Ameeregatrivittata,HylaMinuta,HypsiboasCinerascens,HypsiboasCordobae,LeptodactylusFuscus,OsteocephalusOophagus,Rhinellagranulosa,ScinaxRuber
0,8,14,0,0,454,79,5,39,5,22
1,0,3463,0,57,0,17,0,0,0,37
2,664,1,542,253,18,1025,265,75,63,89
