Cluster,Adenomera,Ameerega,Dendropsophus,Hypsiboas,Leptodactylus,Osteocephalus,Rhinella,Scinax
0,22,0,0,533,5,39,5,22
1,3463,0,57,17,0,0,0,37
2,665,542,253,1043,265,75,63,89
