k,inertia,silhouette,iterations,best_seed
2,108667.9512582753,0.3346774825771873,6,0
3,94587.59825525188,0.3602209502609648,7,4
4,84679.20810818287,0.35536542147322997,12,4
5,76362.03203219995,0.26298753276404097,23,1
6,70837.9786972994,0.26744046554623047,15,3
7,61997.96438009591,0.2897965365639799,16,3
8,59741.8479416217,0.3067917113953264,14,1
9,54855.07837406309,0.3023656558645297,16,4
10,51995.32657696746,0.2581467893437302,39,3
